species	mass
Antilocapra_americana	45375
Addax_nasomaculatus	182375
Aepyceros_melampus	41480
Alcelaphus_buselaphus	150000
Ammodorcas_clarkei	28500
Ammotragus_lervia	55500
Antidorcas_marsupialis	30000
Antilope_cervicapra	37500
Bison_bison	497666.67
Bison_bonasus	500000
Bos_grunniens	333000
Bos_frontalis	800000
Bos_javanicus	666666.67
Boselaphus_tragocamelus	169000
Bubalus_depressicornis	-999
Bubalus_mindorensis	233333.33
Bubalus_bubalis	950000
Budorcas_taxicolor	302000
Capra_caucasica	55000
Capra_falconeri	41000
Capra_ibex	71500
Capra_cylindricornis	50000
Capra_hircus	60000
Cephalophus_niger	18100
Cephalophus_nigrifrons	13900
Cephalophus_natalensis	10000
Cephalophus_leucogaster	12700
Cephalophus_ogilbyi	20000
Cephalophus_zebra	-999
Cephalophus_rufilatus	12500
Cephalophus_dorsalis	11600
Cephalophus_monticola	6250
Cephalophus_silvicultor	62500
Cephalophus_maxwellii	9000
Connochaetes_gnou	132250
Connochaetes_taurinus	164500
Damaliscus_hunteri	159000
Damaliscus_pygargus	84500
Damaliscus_lunatus	128000
Gazella_soemmerringii	40000
Gazella_rufifrons	27000
Gazella_dama	73000
Gazella_leptoceros	23600
Gazella_granti	47636.36
Gazella_spekei	20000
Gazella_cuvieri	17500
Gazella_dorcas	16985
Gazella_subgutturosa	25500
Gazella_thomsonii	16300
Gazella_gazella	20750
Hemitragus_hylocrius	-999
Hemitragus_jemlahicus	35200
Hippotragus_equinus	242000
Hippotragus_niger	200500
Kobus_megaceros	17500
Kobus_vardonii	63950
Kobus_leche	81733.33
Kobus_ellipsiprymnus	175333.33
Kobus_kob	58600
Litocranius_walleri	41333.33
Madoqua_saltiana	3250
Madoqua_guentheri	4550
Madoqua_kirkii	4876.67
Naemorhedus_crispus	30000
Naemorhedus_sumatraensis	87500
Naemorhedus_goral	27666.67
Neotragus_batesi	2500
Neotragus_moschatus	7166.67
Oreamnos_americanus	82350
Oreotragus_oreotragus	13000
Oryx_dammah	177500
Oryx_leucoryx	121350
Oryx_gazella	195000
Ourebia_ourebi	17500
Ovibos_moschatus	258000
Ovis_nivicola	50500
Ovis_vignei	60000
Ovis_dalli	57666.67
Ovis_canadensis	68166.67
Ovis_ammon	180000
Ovis_aries	50000
Pantholops_hodgsonii	27500
Pelea_capreolus	25000
Procapra_gutturosa	24000
Pseudois_nayaur	46666.67
Raphicerus_campestris	11333.33
Redunca_arundinum	48850
Redunca_redunca	40000
Redunca_fulvorufula	30000
Rupicapra_rupicapra	26100
Saiga_tatarica	38250
Sigmoceros_lichtensteinii	153000
Sylvicapra_grimmia	19000
Syncerus_caffer	504666.67
Taurotragus_derbianus	680000
Taurotragus_oryx	432500
Tetracerus_quadricornis	19000
Tragelaphus_buxtoni	218000
Tragelaphus_eurycerus	186250
Tragelaphus_spekii	87500
Tragelaphus_strepsiceros	190000
Tragelaphus_angasii	100666.67
Tragelaphus_imberbis	64500
Tragelaphus_scriptus	36250
Camelus_bactrianus	-999
Camelus_dromedarius	434000
Lama_glama	142500
Lama_pacos	60000
Lama_guanicoe	110000
Vicugna_vicugna	50000
