name	mean_pH
C1_S10_108_4	7.86
C1_S11_106_6	7.48
C1_S11_85_3	8.05
C1_S13_0_97	8.15
C1_S13_11_16	8.38
C1_S13_110_2	8.45
C1_S13_145_2	8.33
C1_S13_151_2	8.45
C1_S13_53_2	8.32
C1_S13_93_2	8.4
C1_S14_139_2	8.74
C1_S14_182_2	7.88
C1_S14_185_3	8.16
C1_S14_226_2	8.17
C1_S14_251_2	8.45
C1_S16_35_6	4.33
C1_S21_122_3	7.75
C1_S21_153_6	8.16
C1_S21_179_2	8.1
C1_S21_535_2	8.07
C1_S21_541_2	8.16
C1_S21_819_2	8.16
C1_S26_142_3	8.05
C1_S26_378_2	7.36
C1_S27_1005_2	8.04
C1_S27_1049_2	8.04
C1_S27_1056_2	7.75
C1_S27_1127_2	8.04
C1_S27_274_3	8.25
C1_S27_289_3	7.64
C1_S27_80_5	8.29
C1_S27_921_2	8.04
C1_S31_143_2	7.21
C1_S31_71_4	7.23
C1_S37_110_3	8.47
C1_S37_151_2	8.08
C1_S37_203_4	8.46
C1_S37_378_2	8.46
C1_S5_121_2	7.59
C1_S5_67_2	7.59
C1_S6_80_2	8.49
C1_S7_10_24	8.52
C10_S10_338_4	7
C11_S0_10_8	5.45
C11_S0_2_59	3.78
C11_S1_19_3	4.21
C11_S10_103_3	6.11
C11_S10_119_3	5.94
C11_S10_175_2	6.66
C11_S10_199_2	5.53
C11_S10_230_3	6.66
C11_S10_298_2	5.83
C11_S10_321_4	5.61
C11_S10_377_2	4.97
C11_S10_403_3	4.24
C11_S12_109_3	5.5
C11_S12_142_2	4.28
C11_S12_84_2	5.64
C11_S15_116_2	4.55
C11_S16_10_20	4.19
C11_S16_105_2	4.63
C11_S16_107_2	4.93
C11_S16_145_3	5.42
C11_S16_214_2	5.96
C11_S16_249_2	4.33
C11_S17_142_3	3.97
C11_S17_205_2	4.01
C11_S20_108_6	6.4
C11_S20_187_3	6.17
C11_S20_213_5	4.84
C11_S20_384_2	5.02
C11_S20_659_2	5.53
C11_S20_791_2	6.4
C11_S23_158_2	5.71
C11_S24_71_2	5.87
C11_S29_14_11	3.85
C11_S32_12_30	3.48
C11_S34_241_2	5.81
C11_S34_360_3	5.2
C11_S34_388_2	5.86
C11_S34_477_2	5.96
C11_S34_835_2	5.96
C11_S35_687_2	6.86
C11_S38_187_3	5.61
C11_S38_311_2	5.21
C11_S39_97_2	4.45
C11_S40_102_2	4.92
C11_S40_141_2	4.5
C11_S40_183_3	4.87
C11_S41_321_2	5
C11_S41_341_2	5
C11_S41_495_2	5
C11_S41_521_2	5
C11_S41_540_2	5
C11_S42_162_2	5.5
C11_S44_325_2	6.5
C11_S47_124_3	5.03
C11_S47_287_2	4.65
C11_S47_71_5	5.03
C11_S8_236_3	6.9
C11_S9_111_2	4.16
C11_S9_113_2	4.16
C11_S9_114_2	4.16
C11_S9_117_2	4.16
C11_S9_132_2	4.16
C11_S9_143_2	4.16
C11_S9_149_2	4.16
C11_S9_156_2	4.16
C11_S9_158_2	4.16
C11_S9_16_12	4.16
C11_S9_168_2	4.16
C11_S9_169_2	4.16
C11_S9_188_2	4.16
C11_S9_195_2	4.16
C11_S9_206_2	4.16
C11_S9_228_2	4.16
C11_S9_238_2	4.16
C11_S9_239_2	4.16
C11_S9_244_2	4.16
C11_S9_298_2	4.16
C11_S9_300_2	4.16
C11_S9_302_2	4.16
C11_S9_304_2	4.16
C11_S9_311_2	4.16
C11_S9_60_3	4.16
C12_S11_0_93	7.8
C12_S11_102_3	8.09
C12_S11_111_2	8.11
C12_S11_122_2	8.22
C12_S11_140_4	8.14
C12_S13_101_2	8.5
C12_S13_59_3	8.48
C12_S13_95_2	8.52
C12_S21_275_2	8.16
C12_S21_565_2	8.09
C12_S27_352_3	8.04
C12_S27_610_3	8.04
C12_S27_809_2	8.28
C12_S31_198_2	7.86
C12_S31_316_2	7.21
C12_S37_11_10	8.35
C12_S37_155_2	8.46
C12_S37_157_2	8.46
C12_S37_184_2	8.46
C12_S37_199_2	8.46
C12_S37_210_2	8.46
C12_S37_221_3	8.45
C12_S37_286_2	8.46
C12_S37_303_2	8.46
C12_S37_320_2	8.46
C12_S37_340_2	8.52
C12_S37_406_2	8.46
C12_S37_408_2	8.46
C12_S37_453_2	8.46
C12_S37_461_2	8.46
C12_S37_476_2	8.46
C12_S37_478_2	8.46
C12_S7_241_3	8.52
C13_S16_64_2	4.33
C13_S19_136_4	5.54
C13_S20_306_2	5.47
C13_S20_329_2	6.24
C13_S20_632_2	6.54
C13_S20_773_2	6.68
C13_S23_107_3	6.18
C13_S23_124_3	6.66
C13_S35_261_2	6.92
C13_S38_101_4	6.68
